#,Item,Poste, Tax year/Année d'imposition             , Total (Number / Nombre) ,Total (Thousands of Dollars / Milliers de dollars),4999 and under/Moins de 4 999 (Number / Nombre),4999 and under/Moins de 4999 (Thousands /Milliers de dollars),5000 - 9999 (Number / Nombre),5000 - 9999 (Thousands of Dollars / Milliers de dollars),10000 - 14999 (Number / Nombre),10000 - 14999 (Thousands of Dollars / Milliers de dollars),15000 - 19999 (Number / Nombre),15000 - 19999 (Thousands of Dollars / Milliers de dollars),20000 - 24999 (Number / Nombre),20000 - 24999 (Thousands of Dollars / Milliers de dollars),25000 - 29999 (Number / Nombre),25000 - 29999 (Thousands of Dollars / Milliers de dollars),30000 - 34999 (Number / Nombre),30000 - 34999 (Thousands of Dollars / Milliers de dollars),35000 - 39999 (Number / Nombre),35000 - 39999 (Thousands of Dollars / Milliers de dollars),40000 - 44999 (Number / Nombre),40000 - 44999 (Thousands of Dollars / Milliers de dollars),45000 - 49999 (Number / Nombre),45000 - 49999 (Thousands of Dollars / Milliers de dollars),50000 - 54999 (Number / Nombre),50000 - 54999 (Thousands of Dollars / Milliers de dollars),55000 - 59999 (Number / Nombre),55000 - 59999 (Thousands of Dollars / Milliers de dollars),60000 - 69999 (Number / Nombre),60000 - 69999 (Thousands of Dollars / Milliers de dollars),70000 - 79999 (Number / Nombre),70000 - 79999 (Thousands of Dollars / Milliers de dollars),80000 - 89999 (Number / Nombre),80000 - 89999 (Thousands of Dollars / Milliers de dollars),90000 - 99999 (Number / Nombre),90000 - 99999 (Thousands of Dollars / Milliers de dollars),100000 - 149999 (Number / Nombre),100000 - 149999 (Thousands of Dollars / Milliers de dollars),150000 - 249999 (Number / Nombre),150000 - 249999 (Thousands of Dollars / Milliers de dollars),250000 and over/250000 et plus (Number / Nombre),250000 and over/250000 et plus (Thousands/Milliers de dollars)
1,Number of taxable returns,Nombre de déclarations imposables,2023, 22058700,0,95890,0,211340,0,295750,0,498950,0,911810,0,1195090,0,1295620,0,1327300,0,1388250,0,1367230,0,1364330,0,1194480,0,2055710,0,1679650,0,1416530,0,1140670,0,2853060,0,1222110,0,544940,0
2,Number of non-taxable returns,Nombre de déclarations non imposables,2023, 8930770,0,2584030,0,1084290,0,1315070,0,1402660,0,1337040,0,643560,0,240630,0,116440,0,66730,0,40810,0,26940,0,17880,0,21940,0,11360,0,6490,0,3400,0,6370,0,3430,0,1710,0
3,Total number of returns,Nombre total de déclarations,2023, 30989470,0,2679920,0,1295630,0,1610820,0,1901610,0,2248850,0,1838640,0,1536250,0,1443740,0,1454980,0,1408030,0,1391260,0,1212360,0,2077650,0,1691000,0,1423020,0,1144070,0,2859430,0,1225540,0,546650,0
4,Employment income,Revenus d'emploi,2023, 19245810,1177993484,648900,1766191,724790,4789523,795020,8243626,814840,11428844,821410,14712312,840670,18547975,901920,24055067,940260,29502459,972050,35060346,983550,40174266,970610,43985130,901660,45205254,1600900,91462803,1343560,89123975,1134680,85680874,957700,81518636,2457710,262073625,1022070,157773196,413530,132889380
5,Commissions (from employment),Commissions (d'emploi),2023, 579450,23970953,5950,6684,11180,11731,15970,22090,18730,37944,20890,57602,22460,80943,24610,111616,25850,142367,25850,169172,25430,199559,25440,234813,24150,261566,45120,618574,39310,725136,33570,773887,27880,790357,84800,3673604,61470,4925903,40800,11127404
6,Other employment income,Autres revenus d'emploi,2023, 2386810,15236573,33200,52460,33610,119075,43500,200563,52000,245481,62140,305875,77360,388504,88270,465113,98710,490192,114840,509943,124850,523998,129420,551980,116580,529170,213500,1051629,191770,993473,176910,910061,158150,714511,433030,2158521,168820,2054361,70160,2971663
7,Old age security (OAS) pension,Pension de sécurité de la vieillesse (PSV),2023, 7106700,56895606,33420,82313,66790,279596,208320,1407611,539710,3696756,1147450,8789098,845100,7063023,530040,4427392,434630,3625684,433770,3623710,382190,3188182,385600,3213977,286940,2384873,450340,3739933,334450,2779502,280770,2346076,174350,1457207,344240,2890294,143390,1203780,85200,696600
8,CPP or QPP benefits,Prestations du RPC ou du RRQ,2023, 8427800,73036632,111420,240623,148100,611822,334230,1709468,632830,3402192,1133880,6702857,904600,7747330,597780,5412426,507030,4709448,506240,4813485,455610,4447078,461940,4550474,350590,3551251,554180,5767502,413590,4429090,338860,3713886,218090,2438670,448030,5124446,194280,2280161,116540,1384425
9,Other pensions and superannuation,Autres pensions et pensions de retraite,2023, 5269730,138868581,18110,58930,30730,136862,53110,254183,130120,524970,306660,1283171,511300,3115815,425320,4376592,378670,5338980,395980,6905537,362940,7677914,378740,9157362,287280,8208640,460810,15347429,350650,13547381,294510,12430733,194010,8963110,409410,21333175,182030,10953008,99360,9254791
10,Elected split-pension amount ,Choix du montant de pension fractionné,2023, 1480780,18790309,7630,22146,11620,49507,29290,144208,70800,443129,107960,800796,128370,1136197,107930,1165977,104670,1307760,134850,1763467,111300,1587678,154030,2287545,69000,979719,94580,1414628,73710,1158498,84180,1424674,43750,721860,92020,1444412,41070,747461,14050,190648
11,Employment insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2023, 2500580,21304894,25140,73742,42810,226651,73270,501250,110930,873784,145880,1255246,171030,1504102,193040,1772969,203600,1874645,205710,1888676,197820,1794174,177620,1581994,150470,1345298,230520,2047011,163120,1416502,119520,975360,84140,648310,155860,1156984,41650,298109,8470,70087
12,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes de sociétés canadiennes imposables,2023, 4556940,111557402,56520,73091,41920,63340,59580,122560,97980,220246,145270,394483,182770,600419,175900,823025,170530,861340,184920,1106006,195250,1412082,212880,1535983,195330,1738566,351260,3244797,315950,3310299,304620,3980306,252870,3643945,768470,15178392,503000,19586801,341930,53661721
13,Interest and other investment income,Intérêts et autres revenus de placements,2023, 9590040,37039321,311340,236368,186580,237928,255170,327461,350640,468458,465350,637009,516880,843790,455750,901947,434500,912491,458520,975876,458550,997372,485700,1104137,427970,1008597,760360,1898684,652980,1766432,586850,1759831,476500,1535074,1270260,5266207,658140,5007565,378000,11154095
14,Net partnership income (limited or non-active partners only),Revenus nets de société de personnes (commanditaires ou associés passifs seulement),2023, 59580,476071,6190,-21062,360,-204,380,-420,480,144,610,-305,710,-362,820,-65,790,-136,860,25,990,-67,1170,-620,1200,1475,2290,92,2280,877,2260,4048,2290,5486,8610,35756,9460,71911,17830,379497
15,Net rental income,Revenus nets de location,2023, 1905120,6359405,64040,-584554,41240,47582,51110,121772,63510,182259,72440,215581,75780,244240,72480,243617,70630,223590,72900,220676,74270,223290,77820,239768,72780,209751,136340,384553,125630,344998,118860,340496,105310,293962,326960,1030199,185660,828367,97370,1549259
16,Taxable capital gains,Gains en capital imposables,2023, 2712430,54988744,45350,75813,33490,52918,44560,78326,62630,113233,85760,157102,105090,205849,101360,241315,98500,260010,105270,300583,108590,330644,119570,378096,109450,388482,199610,797476,180420,850741,172790,940354,145580,911623,447270,4102418,306590,5966244,240580,38837518
17,RRSP income,Revenus d’un REER,2023, 1828370,18960977,36370,63577,24660,76244,38490,176939,53220,276430,65530,346965,76960,434413,76940,515463,79370,544257,88010,627913,94830,715641,102850,805987,93610,687040,172420,1294478,152100,1205276,133860,1185140,108550,977857,278440,3014439,112530,2395249,39620,3617671
18,Other income,Autres revenus,2023, 4417940,34522957,117770,161281,136430,437372,174860,678519,200730,831170,211390,839555,217220,848340,199000,799184,189230,763912,195210,757572,196410,785225,204510,841837,181790,736557,319000,1355937,273360,1243012,247340,1168864,205430,1085475,577230,4138107,341200,4998310,229860,12052727
19,"Taxable scholarships, fellowships, bursaries, and artists' project grants","Montant imposable des bourses d’études, de perfectionnement et d’entretien, et des subventions reçues par des artistes pour un projet",2023, 219920,1102991,21230,43571,24130,95491,26690,123491,26790,135398,22000,119500,17410,98732,14050,79093,11390,64675,9510,54179,7790,45520,6560,37888,5410,32171,8010,48696,5380,32740,3710,21498,2670,16260,5250,34350,1420,12984,520,6755
20,Net business income,Revenus nets d'entreprise,2023, 2297170,35611367,154380,-456462,159180,857996,193910,1626469,186570,1918176,170860,1963500,152940,1925055,129250,1719448,113120,1583787,103750,1495294,95620,1405591,89410,1339457,79010,1251913,131300,2225965,104910,1917909,85560,1701667,68210,1445623,170700,4672436,74850,3448653,33640,3568890
21,Net professional income,Revenus nets de profession libérale,2023, 428520,19712820,19660,-37780,19110,89704,22560,166022,22490,204823,21520,224429,19410,231259,17290,224877,15530,219986,15010,223807,14250,227727,14020,232596,13110,233478,24150,470955,21600,472732,20030,479968,17970,486485,54590,2081269,40180,3390040,36040,10090445
